識別號,年度,系所代碼,主聘系所,教師姓名,專兼任,狀態,論文名稱,論文收錄分類,作者順序,通訊作者,刊物名稱,發表卷數,是否具有審稿制度,期刊論文是否為跨國(地區)合作,發表期數,期刊出版地國家/地區,發表年份,發表月份,發表型式,所屬計畫案
713840 ,114 ,4641 ,高齡暨健康照護管理系 ,江勁政 ,專任 ,續聘 ,運動能改善睡眠？中高齡者睡眠障礙之評估與預防 ,"TSSCI, ",第四(以上)作者 ,是 ,運動表現期刊 ,12 ,是 ,否 ,1 ,中華民國 ,2025 ,3 ,電子期刊 ,無 
713721 ,114 ,4641 ,高齡暨健康照護管理系 ,江貞紅 ,專任 ,續聘 ,大學生國際志工參與歷程與成果研究－以泰北華文學校服務為例 ,"其他, ",第四(以上)作者 ,是 ,服務學習與社會連結學刊 ,8 ,是 ,否 ,8 ,中華民國 ,2025 ,4 ,電子期刊 ,無 
713794 ,114 ,4641 ,高齡暨健康照護管理系 ,宋素卿 ,專任 ,續聘 ,大學生之性知識、性態度、性行為與其愛滋病防治知識與態度之關係 ,"其他, ",第三作者 ,是 ,台灣性學學刊 ,31 ,是 ,否 ,0 ,中華民國 ,2025 ,12 ,紙本及電子期刊 ,無 
713722 ,114 ,4641 ,高齡暨健康照護管理系 ,車慧蓮 ,專任 ,續聘 ,在職進修護理人員壓力因應、健康促進生活型態與幸福感之相關性研究 ,"其他, ",第三作者 ,否 ,長庚科技學刊 ,0 ,是 ,否 ,42 ,中華民國 ,2025 ,6 ,電子期刊 ,無 
713913 ,114 ,4641 ,高齡暨健康照護管理系 ,侯佳惠 ,專任 ,續聘 ,技職校院高齡照顧系學生對高齡者態度、職業意向與學習幸福感之學習歷程研究—AIO整合照護與青銀共照體驗介入初探 ,"TSSCI, ",第一作者 ,是 ,教育與心理研究 ,48 ,是 ,否 ,4 ,中華民國 ,2025 ,12 ,紙本及電子期刊 ,無 
713914 ,114 ,4641 ,高齡暨健康照護管理系 ,侯佳惠 ,專任 ,續聘 ,Enhancing Well-Being through Psychological Resilience and Social Capital: An Empirical Study of Female Entrepreneurs in the Long-Term Care Indutry ,"SSCI, ",第一作者 ,是 ,International Journal of Mental Health Promotion ,27 ,是 ,否 ,12 ,美國 ,2025 ,12 ,紙本及電子期刊 ,無 
713915 ,114 ,4641 ,高齡暨健康照護管理系 ,侯佳惠 ,專任 ,續聘 ,The Application Analysis of Intelligent Technology in Long-Term Care: An Empirical Study of Elderly Care Institutions in Taiwan ,"EI, ",第一作者 ,否 ,Journal of Computers ,36 ,是 ,否 ,4 ,中華民國 ,2025 ,8 ,紙本及電子期刊 ,無 
713916 ,114 ,4641 ,高齡暨健康照護管理系 ,侯佳惠 ,專任 ,續聘 ,Using artificial intelligence for predictive analysis of dementia awareness among community adult learners and evaluation of dementia-friendliness in community environments ,"SSCI, ",第一作者 ,否 ,Computers in Human Behavior ,167 ,是 ,否 ,0 ,美國 ,2025 ,2 ,紙本及電子期刊 ,無 
713814 ,114 ,4641 ,高齡暨健康照護管理系 ,施福忠 ,專任 ,續聘 ,以文獻分析法探討科技輔助對心理健康與社會支持系統之影響 ,"其他, ",第二作者 ,是 ,全球知識發展期刊 ,3 ,是 ,否 ,1 ,中華民國 ,2025 ,3 ,電子期刊 ,無 
713772 ,114 ,4641 ,高齡暨健康照護管理系 ,徐秀琹 ,專任 ,續聘 ,代謝症候群職場員工伴隨阻塞性睡眠呼吸中止症相關因素探討—以北部某地區醫院為例 ,"其他, ",第二作者 ,是 ,護理雜誌 ,72 ,是 ,否 ,1 ,中華民國 ,2025 ,2 ,電子期刊 ,無 
713682 ,114 ,4641 ,高齡暨健康照護管理系 ,張淑紅 ,專任 ,續聘 ,High-Burden and Self-Efficacy Are Associated with Quality of Life in Family Caregivers in Taiwan: A Cross-Sectional Study ,"其他, ",第二作者 ,否 ,Sage Open Aging ,11 ,是 ,否 ,0 ,美國 ,2025 ,8 ,電子期刊 ,無 
713683 ,114 ,4641 ,高齡暨健康照護管理系 ,張淑紅 ,專任 ,續聘 ,"高齡照護人才培育新方向—社會共照觀點之 跨專業協作力,借鏡日本高齡照護經驗 ","其他, ",第一作者 ,是 ,護理雜誌 ,72 ,是 ,否 ,1 ,中華民國 ,2025 ,2 ,紙本及電子期刊 ,無 
713684 ,114 ,4641 ,高齡暨健康照護管理系 ,張淑紅 ,專任 ,續聘 ,"Exploring Health Promotion Behaviors, Occupational Burnout, and Sleep Disturbances in Traditional Industry Workers ","SSCI,SCIE, ",第三作者 ,是 ,Healthcare ,13 ,是 ,否 ,1 ,瑞士 ,2025 ,1 ,電子期刊 ,無 
713667 ,114 ,4641 ,高齡暨健康照護管理系 ,陳美燕 ,專任 ,續聘 ,The relationship between health literacy and medical decision conflict among parents of children newly diagnosed with central precocious puberty ,"SCIE, ",第三作者 ,否 ,Journal of Pediatric Nursing-Nursing Care of Children & Families ,0 ,是 ,是(跨國合作) ,0 ,美國 ,2025 ,9 ,電子期刊 ,無 
713800 ,114 ,4641 ,高齡暨健康照護管理系 ,黃惠玲 ,專任 ,續聘 ,Effect of a Smart Clothes–Assisted Care System for Persons Living With Dementia on Family Caregivers: Longitudinal Nonblinded Quasi-Experimental Study ,"SCIE, ",第二作者 ,否 ,JOURNAL OF MEDICAL INTERNET RESEARCH ,27 ,是 ,否 ,0 ,加拿大 ,2025 ,12 ,電子期刊 ,無 
713801 ,114 ,4641 ,高齡暨健康照護管理系 ,黃惠玲 ,專任 ,續聘 ,User evaluations of a Dementia case management information system: A cross-sectional study. ,"SSCI,SCIE, ",第四(以上)作者 ,是 ,Geriatric Nursing ,64 ,是 ,否 ,0 ,美國 ,2025 ,5 ,紙本及電子期刊 ,ZRRPF3L0041 
713802 ,114 ,4641 ,高齡暨健康照護管理系 ,黃惠玲 ,專任 ,續聘 ,Challenges for family caregivers of persons with mild cognitive impairment: A qualitative longitudinal study. ,"SSCI,SCIE, ",第三作者 ,否 ,International Journal of Mental Health Nursing ,34 ,是 ,否 ,1 ,澳大利亞 ,2025 ,2 ,紙本及電子期刊 ,無 
713791 ,114 ,4641 ,高齡暨健康照護管理系 ,劉杏元 ,專任 ,續聘 ,Self-perceived design thinking competence among Taiwanese nursing students: a longitudinal study ,"SCI,SSCI,SCIE, ",第一作者 ,是 ,BMC Nursing ,24 ,是 ,否 ,0 ,英國 ,2025 ,12 ,電子期刊 ,MOST 109-2511-H-255-003-MY2 
713798 ,114 ,4641 ,高齡暨健康照護管理系 ,蔡碧藍 ,專任 ,續聘 ,輕銀安全回家趣－高齡者防跌居家安全桌遊之創新產品設計 ,"其他, ",第三作者 ,是 ,福祉科技與服務管理學刊 ,13 ,是 ,否 ,1 ,中華民國 ,2025 ,2 ,紙本及電子期刊 ,無 
713878 ,114 ,4641 ,高齡暨健康照護管理系 ,龔本珍 ,專任 ,續聘 ,Effectiveness of Neighborhood Care Volunteer Training Programs: A Mixed-Methods Study ,"SSCI,SCIE, ",第一作者 ,否 ,Public Health Nursing ,42 ,是 ,否 ,2 ,美國 ,2025 ,3 ,紙本及電子期刊 ,the Chang Gung Medical Research Project (grant numbers #CMRPF3G0063) 
713917 ,114 ,1531 ,護理系 ,于素英 ,專任 ,續聘 ,"Factors influencing advance care planning behaviors among geriatric nurses: knowledge, attitudes, and self-efficacy ","SCI, ",第四(以上)作者 ,否 ,Geriatric Nursing ,61 ,是 ,否 ,0 ,美國 ,2025 ,2 ,電子期刊 ,無 
713717 ,114 ,1531 ,護理系 ,王玉女 ,專任 ,續聘 ,"Associations of Calf Circumference, Nutritional Status, and Widowhood with Sarcopenia Severity in Community-Dwelling Older Adults with Dementia: Insights into Muscle Function ","其他, ",第一作者 ,否 ,Interdisciplinary Journal of Acute Care ,6 ,是 ,是(跨國合作) ,2 ,伊朗伊斯蘭共和國 ,2025 ,12 ,電子期刊 ,ZRRPF3P0041 
713718 ,114 ,1531 ,護理系 ,王玉女 ,專任 ,續聘 ,Impact of Severe Sarcopenia on Depressive Symptoms and Quality of Life in Community-Dwelling Older Adults with Dementia: A Cross-Sectional Study ,"SCI,SSCI, ",第一作者 ,是 ,Journal of Gerontological Nursing ,51 ,是 ,是(跨國合作) ,10 ,美國 ,2025 ,10 ,電子期刊 ,ZRRPF3M0061 
713719 ,114 ,1531 ,護理系 ,王玉女 ,專任 ,續聘 ,A 3-month integrated exercise intervention improves diagnostic parameters of sarcopenia in ambulatory community-dwelling older adults with dementia: A two-group pre-test/post-test design ,"SCI, ",第一作者 ,是 ,Geriatric Nursing ,63 ,是 ,否 ,0 ,美國 ,2025 ,6 ,電子期刊 ,ZRRPF3N0031 
713720 ,114 ,1531 ,護理系 ,王玉女 ,專任 ,續聘 ,Coping Strategies in Family Caregiver of Patients with Cancer: A Cross-Sectional Study ,"其他, ",第二作者 ,否 ,Interdisciplinary Journal of Acute Care ,6 ,是 ,是(跨國合作) ,1 ,伊朗伊斯蘭共和國 ,2025 ,5 ,電子期刊 ,無 
713767 ,114 ,1531 ,護理系 ,王玉真 ,專任 ,續聘 ,以實證觀點探討耳穴貼壓緩解癌症病人化學治療引發噁心及嘔吐之成效 ,"其他, ",第三作者 ,是 ,長庚科技學刊 ,43 ,是 ,否 ,0 ,中華民國 ,2025 ,12 ,紙本 ,無 
713768 ,114 ,1531 ,護理系 ,王玉真 ,專任 ,續聘 ,視覺藝術治療改善輕度認知障礙病人認 知功能及憂鬱之成效 ,"其他, ",第四(以上)作者 ,是 ,彰化護理 ,32 ,是 ,否 ,1 ,中華民國 ,2025 ,3 ,紙本 ,無 
713669 ,114 ,1531 ,護理系 ,王亞妮 ,專任 ,續聘 ,"Associations of Calf Circumference, Nutritional Status, and Widowhood with Sarcopenia Severity in Community-Dwelling Older Adults with Dementia: Insights into Muscle Function ","其他, ",第三作者 ,是 ,Interdisciplinary Journal of Acute Care ,6 ,是 ,是(跨國合作) ,2 ,伊朗伊斯蘭共和國 ,2025 ,12 ,電子期刊 ,無 
713935 ,114 ,1531 ,護理系 ,朱彥 ,兼任 ,新任 ,Probiotics and Phytoantioxidants Target Coronary Endothelial Dysfunction in Irregular Sleep- and Obesity-Associated Cardiometabolic Syndrome ,"SCIE, ",第二作者 ,是 ,Life ,15 ,是 ,否 ,15 ,瑞士 ,2025 ,11 ,電子期刊 ,"NMRPG3G0091, NMRPG3J0511, NMRPG3M0421 "
713769 ,114 ,1531 ,護理系 ,余怡珍 ,專任 ,續聘 ,多元教學策略建構學生學習成效之模式──微課、互動式模擬情境動畫、虛擬實境與同理心地圖於基本護理學暨實驗 ,"其他, ",第一作者 ,否 ,大學教學實務與研究學刊 ,9 ,是 ,否 ,1 ,中華民國 ,2025 ,6 ,電子期刊 ,無 
713770 ,114 ,1531 ,護理系 ,余怡珍 ,專任 ,續聘 ,Effects of empathy mapping and mini-simulation on second-year nursing students’ empathy and communication self-confidence: a quasi-experimental study ,"SSCI,SCIE, ",第一作者 ,否 ,BMC Medical Education ,25 ,是 ,否 ,109 ,英國 ,2025 ,1 ,電子期刊 ,無 
713771 ,114 ,1531 ,護理系 ,余怡珍 ,專任 ,續聘 ,Development of nonverbal communication behavior model for nursing students based on deep learning facial expression recognition technology ,"其他, ",第一作者 ,是 ,Cogent Education ,12 ,是 ,否 ,1 ,英國 ,2025 ,1 ,電子期刊 ,國科會 
713799 ,114 ,1531 ,護理系 ,吳佳玲 ,專任 ,續聘 ,Association between intrinsic capacity and sarcopenia in older adults with type 2 diabetes: A cross-sectional study ,"SCI,SSCI, ",第四(以上)作者 ,否 ,Aging Clinical and Experimental Research ,37 ,是 ,否 ,252 ,義大利共和國 ,2025 ,8 ,紙本及電子期刊 ,無 
713697 ,114 ,1531 ,護理系 ,吳美玲 ,專任 ,續聘 ,可信賴專業活動在護理學生的學習與能力培育的應用 ,"其他, ",第二作者 ,否 ,護理雜誌 ,72 ,是 ,否 ,4 ,中華民國 ,2025 ,8 ,紙本及電子期刊 ,無 
713787 ,114 ,1531 ,護理系 ,吳淑美 ,專任 ,續聘 ,讓世界走進來—以英語授課周產期傷慟關懷為例 ,"TSSCI, ",第二作者 ,是 ,護理雜誌 ,72 ,是 ,否 ,3 ,中華民國 ,2025 ,6 ,紙本及電子期刊 ,無 
713909 ,114 ,1531 ,護理系 ,吳筱盈 ,專任 ,續聘 ,Development and evaluation of animated instructional materials and collaborative learning for nursing research courses: An action research study ,"SCI, ",第二作者 ,否 ,NURSE EDUCATION TODAY ,155 ,是 ,否 ,1 ,美國 ,2025 ,9 ,電子期刊 ,教學實踐計畫 
713792 ,114 ,1531 ,護理系 ,吳曉明 ,專任 ,續聘 ,以經驗學習觀點探究大學生部落兒童陪伴的實作與反思 ,"其他, ",第四(以上)作者 ,是 ,學生事務與輔導 ,64 ,是 ,否 ,1 ,中華民國 ,2025 ,4 ,紙本及電子期刊 ,無 
713793 ,114 ,1531 ,護理系 ,吳曉明 ,專任 ,續聘 ,當漢族學生與部落服務的相遇－人情、自然與文化的看見 ,"其他, ",第一作者 ,否 ,服務學習與社會連結學刊 ,8 ,是 ,否 ,8 ,中華民國 ,2025 ,4 ,紙本及電子期刊 ,無 
713670 ,114 ,1531 ,護理系 ,巫菲翎 ,專任 ,續聘 ,PRECEDE模式於社區民眾B型與C型肝炎防治評估 ,"其他, ",第二作者 ,是 ,長庚護理 ,36 ,是 ,否 ,3 ,中華民國 ,2025 ,9 ,電子期刊 ,無 
713671 ,114 ,1531 ,護理系 ,巫菲翎 ,專任 ,續聘 ,The Relationship Between Voluntary Participation Status and Health Promotion Lifestyle Among Middle-Aged and Older Adults in the Community ,"SSCI,SCIE, ",第四(以上)作者 ,是 ,Holistic Nursing Practice ,39 ,是 ,否 ,3 ,美國 ,2025 ,5 ,紙本及電子期刊 ,CMRP G3J1351 
713672 ,114 ,1531 ,護理系 ,巫菲翎 ,專任 ,續聘 ,衛生教育診斷評價(PRECEDE-PROCEED)模式於社區肝炎防治之成效 ,"其他, ",第二作者 ,是 ,台灣醫學 ,29 ,是 ,否 ,2 ,中華民國 ,2025 ,3 ,電子期刊 ,無 
713673 ,114 ,1531 ,護理系 ,巫菲翎 ,專任 ,續聘 ,Poor glycemic status as a risk factor for dementia in type 2 diabetes population: Findings from the Taiwan's National Health Insurance Database ,"SCIE, ",第四(以上)作者 ,是 ,Diabetes Research and Clinical Practice ,222 ,是 ,否 ,0 ,荷蘭王國 ,2025 ,2 ,電子期刊 ,無 
713674 ,114 ,1531 ,護理系 ,巫菲翎 ,專任 ,續聘 ,"Associations between clustering of hypoglycemic symptoms, psychological traits, and problem-solving abilities in adults with type 1 diabetes baseline data analysis of the PR-IAH study ","其他, ",第四(以上)作者 ,否 ,Diabetology International ,16 ,是 ,是(跨國合作) ,2 ,日本 ,2025 ,1 ,電子期刊 ,無 
713675 ,114 ,1531 ,護理系 ,巫菲翎 ,專任 ,續聘 ,"A Mobile Health Intervention for Improving Problem-Solving Skills, Emotional Adaptation, and Glycemic Control in Patients With Type 2 Diabetes ","SCI,SSCI, ",第一作者 ,否 ,Research in Nursing & Health ,48 ,是 ,否 ,3 ,美國 ,2025 ,1 ,電子期刊 ,MOST 108‐2314‐B‐255 ‐007 ‐ MY2 
713648 ,114 ,1531 ,護理系 ,李以文 ,專任 ,續聘 ,高濃度血小板血漿於醫美照護之應用 ,"其他, ",第一作者 ,否 ,長庚科技學刊 ,0 ,是 ,否 ,43 ,中華民國 ,2025 ,12 ,紙本及電子期刊 ,無 
713649 ,114 ,1531 ,護理系 ,李以文 ,專任 ,續聘 ,心衰竭患者接受行動醫療能否提升低鈉、限水飲食和監測體重之遵從行為 ,"其他, ",第三作者 ,是 ,彰化護理 ,32 ,是 ,否 ,2 ,中華民國 ,2025 ,6 ,紙本及電子期刊 ,無 
713650 ,114 ,1531 ,護理系 ,李以文 ,專任 ,續聘 ,心衰竭患者接受限鈉飲食對減輕體液滯留症狀和提升生活品質的效果 ,"其他, ",第一作者 ,是 ,彰化護理 ,32 ,是 ,否 ,1 ,中華民國 ,2025 ,3 ,紙本及電子期刊 ,無 
713639 ,114 ,1531 ,護理系 ,李玉秀 ,專任 ,續聘 ,Motivation in rare disease self-care: A phenomenological study of pediatric patients with spinal muscular atrophy and their caregivers ,"SCI, ",第三作者 ,否 ,Journal of Nursing Research ,33 ,是 ,否 ,3 ,中華民國 ,2025 ,6 ,電子期刊 ,CMRPF1I0051 
713640 ,114 ,1531 ,護理系 ,李玉秀 ,專任 ,續聘 ,Personality preferences and stress perception among nursing students in different nursing programmes: A cross-sectional study ,"SSCI, ",第一作者 ,否 ,BMC Medical Education ,25 ,是 ,否 ,1 ,英國 ,2025 ,3 ,電子期刊 ,MOST 110 2511 H 255 001 
713641 ,114 ,1531 ,護理系 ,李玉秀 ,專任 ,續聘 ,Exploring care challenges and needs of people with diabetes comorbid cognitive impairment from the triangular perspectives ,"SCI, ",第四(以上)作者 ,是 ,Nursing & Health Sciences ,27 ,是 ,否 ,1 ,日本 ,2025 ,3 ,電子期刊 ,NCKUH-11007014 
713734 ,114 ,1531 ,護理系 ,李惠玲 ,專任 ,續聘 ,Virtual Reality Simulation for Undergraduate Nursing Students for Care of Patients With Infectious Diseases: Mixed Methods Study ,"其他, ",第四(以上)作者 ,否 ,JMIR Medical Education ,11 ,是 ,是(跨國合作) ,0 ,加拿大 ,2025 ,2 ,電子期刊 ,MOST110-2511-H-255-013; 111-2410-H-255-010 
713864 ,114 ,1531 ,護理系 ,林月娥 ,兼任 ,新任 ,"The relationships among nurses’ spiritual health, sleep quality, and stress and the factors influencing stress during the late global COVID-19 pandemic ","SCIE, ",第一作者 ,否 ,plos one ,20 ,是 ,否 ,5 ,美國 ,2025 ,5 ,電子期刊 ,無 
